"","name","screen_name","party","type","gender"
"60","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"61","Rep. Mike Johnson","repmikejohnson","Democrat","sen","F"
"62","Rep. Mike Johnson","repmikejohnson","Republican","sen","M"
"63","Rep. Mike Johnson","repmikejohnson","Democrat","sen","F"
"64","Rep. Mike Johnson","repmikejohnson","Democrat","sen","F"
"65","Rep. Mike Johnson","repmikejohnson","Republican","rep","F"
"66","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"67","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"68","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"69","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"70","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"71","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"72","Rep. Mike Johnson","repmikejohnson","Democrat","rep","F"
"73","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"74","Rep. Mike Johnson","repmikejohnson","Democrat","rep","F"
"75","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"76","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"77","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"78","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"79","Rep. Mike Johnson","repmikejohnson","Democrat","rep","F"
"80","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"81","Rep. Mike Johnson","repmikejohnson","Democrat","rep","F"
"82","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"83","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"84","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"85","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"86","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"87","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"88","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"89","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"90","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"91","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"92","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"93","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"94","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"95","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"96","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"97","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"98","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"99","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"100","Rep. Mike Johnson","repmikejohnson","Democrat","rep","F"
"101","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"102","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"103","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"104","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"105","Rep. Mike Johnson","repmikejohnson","Republican","sen","M"
"106","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"107","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"108","Rep. Mike Johnson","repmikejohnson","Republican","rep","F"
"109","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"110","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"111","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"112","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"113","Rep. Mike Johnson","repmikejohnson","Democrat","rep","M"
"114","Rep. Mike Johnson","repmikejohnson","Democrat","rep","F"
"115","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
"116","Rep. Mike Johnson","repmikejohnson","Republican","rep","F"
"117","Ted Budd","reptedbudd","Republican","rep","M"
"118","Ted Budd","reptedbudd","Democrat","rep","M"
"119","Ted Budd","reptedbudd","Democrat","sen","F"
"120","Ted Budd","reptedbudd","Republican","sen","M"
"121","Ted Budd","reptedbudd","Democrat","sen","F"
"122","Ted Budd","reptedbudd","Democrat","sen","F"
"123","Ted Budd","reptedbudd","Republican","rep","F"
"124","Ted Budd","reptedbudd","Republican","rep","M"
"125","Ted Budd","reptedbudd","Democrat","rep","M"
"126","Ted Budd","reptedbudd","Republican","rep","M"
"127","Ted Budd","reptedbudd","Democrat","rep","M"
"128","Ted Budd","reptedbudd","Democrat","rep","M"
"129","Ted Budd","reptedbudd","Democrat","rep","M"
"130","Ted Budd","reptedbudd","Democrat","rep","F"
"131","Ted Budd","reptedbudd","Democrat","rep","M"
"132","Ted Budd","reptedbudd","Democrat","rep","F"
"133","Ted Budd","reptedbudd","Republican","rep","M"
"134","Ted Budd","reptedbudd","Republican","rep","M"
"135","Ted Budd","reptedbudd","Republican","rep","M"
"136","Ted Budd","reptedbudd","Democrat","rep","M"
"137","Ted Budd","reptedbudd","Democrat","rep","F"
"138","Ted Budd","reptedbudd","Democrat","rep","M"
"139","Ted Budd","reptedbudd","Democrat","rep","F"
"140","Ted Budd","reptedbudd","Democrat","rep","M"
"141","Ted Budd","reptedbudd","Republican","rep","M"
"142","Ted Budd","reptedbudd","Republican","rep","M"
"143","Ted Budd","reptedbudd","Republican","rep","M"
"144","Ted Budd","reptedbudd","Democrat","rep","M"
"145","Ted Budd","reptedbudd","Republican","rep","M"
"146","Ted Budd","reptedbudd","Republican","rep","M"
"147","Ted Budd","reptedbudd","Republican","rep","M"
"148","Ted Budd","reptedbudd","Republican","rep","M"
"149","Ted Budd","reptedbudd","Republican","rep","M"
"150","Ted Budd","reptedbudd","Democrat","rep","M"
"151","Ted Budd","reptedbudd","Democrat","rep","M"
"152","Ted Budd","reptedbudd","Republican","rep","M"
"153","Ted Budd","reptedbudd","Republican","rep","M"
"154","Ted Budd","reptedbudd","Republican","rep","M"
"155","Ted Budd","reptedbudd","Republican","rep","M"
"156","Ted Budd","reptedbudd","Republican","rep","M"
"157","Ted Budd","reptedbudd","Democrat","rep","M"
"158","Ted Budd","reptedbudd","Democrat","rep","F"
"159","Ted Budd","reptedbudd","Democrat","rep","M"
"160","Ted Budd","reptedbudd","Democrat","rep","M"
"161","Ted Budd","reptedbudd","Democrat","rep","M"
"162","Ted Budd","reptedbudd","Republican","rep","M"
"163","Ted Budd","reptedbudd","Republican","sen","M"
"164","Ted Budd","reptedbudd","Democrat","rep","M"
"165","Ted Budd","reptedbudd","Republican","rep","M"
"166","Ted Budd","reptedbudd","Republican","rep","F"
"167","Ted Budd","reptedbudd","Republican","rep","M"
"168","Ted Budd","reptedbudd","Republican","rep","M"
"169","Ted Budd","reptedbudd","Republican","rep","M"
"170","Ted Budd","reptedbudd","Republican","rep","M"
"171","Ted Budd","reptedbudd","Democrat","rep","M"
"172","Ted Budd","reptedbudd","Democrat","rep","F"
"173","Ted Budd","reptedbudd","Republican","rep","M"
"174","Ted Budd","reptedbudd","Republican","rep","F"
"175","Adriano Espaillat","repespaillat","Republican","rep","M"
"176","Adriano Espaillat","repespaillat","Democrat","rep","M"
"177","Adriano Espaillat","repespaillat","Democrat","sen","F"
"178","Adriano Espaillat","repespaillat","Republican","sen","M"
"179","Adriano Espaillat","repespaillat","Democrat","sen","F"
"180","Adriano Espaillat","repespaillat","Democrat","sen","F"
"181","Adriano Espaillat","repespaillat","Republican","rep","F"
"182","Adriano Espaillat","repespaillat","Republican","rep","M"
"183","Adriano Espaillat","repespaillat","Democrat","rep","M"
"184","Adriano Espaillat","repespaillat","Republican","rep","M"
"185","Adriano Espaillat","repespaillat","Democrat","rep","M"
"186","Adriano Espaillat","repespaillat","Democrat","rep","M"
"187","Adriano Espaillat","repespaillat","Democrat","rep","M"
"188","Adriano Espaillat","repespaillat","Democrat","rep","F"
"189","Adriano Espaillat","repespaillat","Democrat","rep","M"
"190","Adriano Espaillat","repespaillat","Democrat","rep","F"
"191","Adriano Espaillat","repespaillat","Republican","rep","M"
"192","Adriano Espaillat","repespaillat","Republican","rep","M"
"193","Adriano Espaillat","repespaillat","Republican","rep","M"
"194","Adriano Espaillat","repespaillat","Democrat","rep","M"
"195","Adriano Espaillat","repespaillat","Democrat","rep","F"
"196","Adriano Espaillat","repespaillat","Democrat","rep","M"
"197","Adriano Espaillat","repespaillat","Democrat","rep","F"
"198","Adriano Espaillat","repespaillat","Democrat","rep","M"
"199","Adriano Espaillat","repespaillat","Republican","rep","M"
"200","Adriano Espaillat","repespaillat","Republican","rep","M"
"201","Adriano Espaillat","repespaillat","Republican","rep","M"
"202","Adriano Espaillat","repespaillat","Democrat","rep","M"
"203","Adriano Espaillat","repespaillat","Republican","rep","M"
"204","Adriano Espaillat","repespaillat","Republican","rep","M"
"205","Adriano Espaillat","repespaillat","Republican","rep","M"
"206","Adriano Espaillat","repespaillat","Republican","rep","M"
"207","Adriano Espaillat","repespaillat","Republican","rep","M"
"208","Adriano Espaillat","repespaillat","Democrat","rep","M"
"209","Adriano Espaillat","repespaillat","Democrat","rep","M"
"210","Adriano Espaillat","repespaillat","Republican","rep","M"
"211","Adriano Espaillat","repespaillat","Republican","rep","M"
"212","Adriano Espaillat","repespaillat","Republican","rep","M"
"213","Adriano Espaillat","repespaillat","Republican","rep","M"
"214","Adriano Espaillat","repespaillat","Republican","rep","M"
"215","Adriano Espaillat","repespaillat","Democrat","rep","M"
"216","Adriano Espaillat","repespaillat","Democrat","rep","F"
"217","Adriano Espaillat","repespaillat","Democrat","rep","M"
"218","Adriano Espaillat","repespaillat","Democrat","rep","M"
"219","Adriano Espaillat","repespaillat","Democrat","rep","M"
"220","Adriano Espaillat","repespaillat","Republican","rep","M"
"221","Adriano Espaillat","repespaillat","Republican","sen","M"
"222","Adriano Espaillat","repespaillat","Democrat","rep","M"
"223","Adriano Espaillat","repespaillat","Republican","rep","M"
"224","Adriano Espaillat","repespaillat","Republican","rep","F"
"225","Adriano Espaillat","repespaillat","Republican","rep","M"
"226","Adriano Espaillat","repespaillat","Republican","rep","M"
"227","Adriano Espaillat","repespaillat","Republican","rep","M"
"228","Adriano Espaillat","repespaillat","Republican","rep","M"
"229","Adriano Espaillat","repespaillat","Democrat","rep","M"
"230","Adriano Espaillat","repespaillat","Democrat","rep","F"
"231","Adriano Espaillat","repespaillat","Republican","rep","M"
"232","Adriano Espaillat","repespaillat","Republican","rep","F"
"233","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"234","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"235","Rep. Blunt Rochester","repbrochester","Democrat","sen","F"
"236","Rep. Blunt Rochester","repbrochester","Republican","sen","M"
"237","Rep. Blunt Rochester","repbrochester","Democrat","sen","F"
"238","Rep. Blunt Rochester","repbrochester","Democrat","sen","F"
"239","Rep. Blunt Rochester","repbrochester","Republican","rep","F"
"240","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"241","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"242","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"243","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"244","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"245","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"246","Rep. Blunt Rochester","repbrochester","Democrat","rep","F"
"247","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"248","Rep. Blunt Rochester","repbrochester","Democrat","rep","F"
"249","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"250","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"251","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"252","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"253","Rep. Blunt Rochester","repbrochester","Democrat","rep","F"
"254","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"255","Rep. Blunt Rochester","repbrochester","Democrat","rep","F"
"256","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"257","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"258","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"259","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"260","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"261","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"262","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"263","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"264","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"265","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"266","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"267","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"268","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"269","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"270","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"271","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"272","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"273","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"274","Rep. Blunt Rochester","repbrochester","Democrat","rep","F"
"275","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"276","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"277","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"278","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"279","Rep. Blunt Rochester","repbrochester","Republican","sen","M"
"280","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"281","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"282","Rep. Blunt Rochester","repbrochester","Republican","rep","F"
"283","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"284","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"285","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"286","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"287","Rep. Blunt Rochester","repbrochester","Democrat","rep","M"
"288","Rep. Blunt Rochester","repbrochester","Democrat","rep","F"
"289","Rep. Blunt Rochester","repbrochester","Republican","rep","M"
"290","Rep. Blunt Rochester","repbrochester","Republican","rep","F"
"291","Nanette D. Barragán","repbarragan","Republican","rep","M"
"292","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"293","Nanette D. Barragán","repbarragan","Democrat","sen","F"
"294","Nanette D. Barragán","repbarragan","Republican","sen","M"
"295","Nanette D. Barragán","repbarragan","Democrat","sen","F"
"296","Nanette D. Barragán","repbarragan","Democrat","sen","F"
"297","Nanette D. Barragán","repbarragan","Republican","rep","F"
"298","Nanette D. Barragán","repbarragan","Republican","rep","M"
"299","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"300","Nanette D. Barragán","repbarragan","Republican","rep","M"
"301","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"302","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"303","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"304","Nanette D. Barragán","repbarragan","Democrat","rep","F"
"305","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"306","Nanette D. Barragán","repbarragan","Democrat","rep","F"
"307","Nanette D. Barragán","repbarragan","Republican","rep","M"
"308","Nanette D. Barragán","repbarragan","Republican","rep","M"
"309","Nanette D. Barragán","repbarragan","Republican","rep","M"
"310","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"311","Nanette D. Barragán","repbarragan","Democrat","rep","F"
"312","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"313","Nanette D. Barragán","repbarragan","Democrat","rep","F"
"314","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"315","Nanette D. Barragán","repbarragan","Republican","rep","M"
"316","Nanette D. Barragán","repbarragan","Republican","rep","M"
"317","Nanette D. Barragán","repbarragan","Republican","rep","M"
"318","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"319","Nanette D. Barragán","repbarragan","Republican","rep","M"
"320","Nanette D. Barragán","repbarragan","Republican","rep","M"
"321","Nanette D. Barragán","repbarragan","Republican","rep","M"
"322","Nanette D. Barragán","repbarragan","Republican","rep","M"
"323","Nanette D. Barragán","repbarragan","Republican","rep","M"
"324","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"325","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"326","Nanette D. Barragán","repbarragan","Republican","rep","M"
"327","Nanette D. Barragán","repbarragan","Republican","rep","M"
"328","Nanette D. Barragán","repbarragan","Republican","rep","M"
"329","Nanette D. Barragán","repbarragan","Republican","rep","M"
"330","Nanette D. Barragán","repbarragan","Republican","rep","M"
"331","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"332","Nanette D. Barragán","repbarragan","Democrat","rep","F"
"333","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"334","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"335","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"336","Nanette D. Barragán","repbarragan","Republican","rep","M"
"337","Nanette D. Barragán","repbarragan","Republican","sen","M"
"338","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"339","Nanette D. Barragán","repbarragan","Republican","rep","M"
"340","Nanette D. Barragán","repbarragan","Republican","rep","F"
"341","Nanette D. Barragán","repbarragan","Republican","rep","M"
"342","Nanette D. Barragán","repbarragan","Republican","rep","M"
"343","Nanette D. Barragán","repbarragan","Republican","rep","M"
"344","Nanette D. Barragán","repbarragan","Republican","rep","M"
"345","Nanette D. Barragán","repbarragan","Democrat","rep","M"
"346","Nanette D. Barragán","repbarragan","Democrat","rep","F"
"347","Nanette D. Barragán","repbarragan","Republican","rep","M"
"348","Nanette D. Barragán","repbarragan","Republican","rep","F"
"349","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"350","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"351","Rep. Liz Cheney","replizcheney","Democrat","sen","F"
"352","Rep. Liz Cheney","replizcheney","Republican","sen","M"
"353","Rep. Liz Cheney","replizcheney","Democrat","sen","F"
"354","Rep. Liz Cheney","replizcheney","Democrat","sen","F"
"355","Rep. Liz Cheney","replizcheney","Republican","rep","F"
"356","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"357","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"358","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"359","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"360","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"361","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"362","Rep. Liz Cheney","replizcheney","Democrat","rep","F"
"363","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"364","Rep. Liz Cheney","replizcheney","Democrat","rep","F"
"365","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"366","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"367","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"368","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"369","Rep. Liz Cheney","replizcheney","Democrat","rep","F"
"370","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"371","Rep. Liz Cheney","replizcheney","Democrat","rep","F"
"372","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"373","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"374","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"375","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"376","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"377","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"378","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"379","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"380","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"381","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"382","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"383","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"384","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"385","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"386","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"387","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"388","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"389","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"390","Rep. Liz Cheney","replizcheney","Democrat","rep","F"
"391","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"392","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"393","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"394","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"395","Rep. Liz Cheney","replizcheney","Republican","sen","M"
"396","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"397","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"398","Rep. Liz Cheney","replizcheney","Republican","rep","F"
"399","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"400","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"401","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"402","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"403","Rep. Liz Cheney","replizcheney","Democrat","rep","M"
"404","Rep. Liz Cheney","replizcheney","Democrat","rep","F"
"405","Rep. Liz Cheney","replizcheney","Republican","rep","M"
"406","Rep. Liz Cheney","replizcheney","Republican","rep","F"
"407","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"408","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"409","Tom Suozzi","reptomsuozzi","Democrat","sen","F"
"410","Tom Suozzi","reptomsuozzi","Republican","sen","M"
"411","Tom Suozzi","reptomsuozzi","Democrat","sen","F"
"412","Tom Suozzi","reptomsuozzi","Democrat","sen","F"
"413","Tom Suozzi","reptomsuozzi","Republican","rep","F"
"414","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"415","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"416","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"417","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"418","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"419","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"420","Tom Suozzi","reptomsuozzi","Democrat","rep","F"
"421","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"422","Tom Suozzi","reptomsuozzi","Democrat","rep","F"
"423","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"424","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"425","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"426","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"427","Tom Suozzi","reptomsuozzi","Democrat","rep","F"
"428","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"429","Tom Suozzi","reptomsuozzi","Democrat","rep","F"
"430","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"431","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"432","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"433","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"434","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"435","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"436","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"437","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"438","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"439","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"440","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"441","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"442","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"443","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"444","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"445","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"446","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"447","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"448","Tom Suozzi","reptomsuozzi","Democrat","rep","F"
"449","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"450","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"451","Tom Suozzi","reptomsuozzi","Democrat","rep","M"
"452","Tom Suozzi","reptomsuozzi","Republican","rep","M"
"453","Tom Suozzi","reptomsuozzi","Republican","sen","M"
