bioguide_id,party,gender,title,birthdate,firstname,middlename,lastname,name_suffix,state,district,senate_class,website,fec_id,twitter_id
K000393,R,M,Sen,11/21/51,John,Neely,Kennedy,,LA,Junior Seat,III,https://www.kennedy.senate.gov,S4LA00065,SenJohnKennedy
W000437,R,M,Sen,7/5/51,Roger,F.,Wicker,,MS,Junior Seat,I,https://www.wicker.senate.gov,H4MS01078,SenatorWicker
F000457,D,M,Sen,5/21/51,Alan,Stuart,Franken,,MN,Junior Seat,II,https://www.franken.senate.gov,S8MN00438,SenFranken
C000880,R,M,Sen,5/20/51,Michael,D.,Crapo,,ID,Senior Seat,III,https://www.crapo.senate.gov,S8ID00027,MikeCrapo
F000463,R,F,Sen,3/1/51,Deb,,Fischer,,NE,Senior Seat,I,https://www.fischer.senate.gov,S2NE00094,SenatorFischer
B001236,R,M,Sen,12/10/50,John,,Boozman,,AR,Senior Seat,III,https://www.boozman.senate.gov/public,H2AR03176,JohnBoozman
S000148,D,M,Sen,11/23/50,Charles,E.,Schumer,,NY,Senior Seat,III,https://www.schumer.senate.gov,S8NY00082,SenSchumer
M001111,D,F,Sen,10/11/50,Patty,,Murray,,WA,Senior Seat,III,https://www.murray.senate.gov/public,S2WA00189,PattyMurray
S000770,D,F,Sen,4/29/50,Debbie,Ann,Stabenow,,MI,Senior Seat,I,https://www.stabenow.senate.gov,S8MI00281,SenStabenow
B000575,R,M,Sen,1/10/50,Roy,,Blunt,,MO,Junior Seat,III,https://www.blunt.senate.gov/public,H6MO07128,RoyBlunt
P000612,R,M,Sen,12/10/49,David,,Perdue,,GA,Junior Seat,II,https://www.perdue.senate.gov,S4GA11285,sendavidperdue
R000122,D,M,Sen,11/12/49,John,F.,Reed,,RI,Senior Seat,II,https://www.reed.senate.gov,S6RI00163,SenJackReed
W000817,D,F,Sen,6/22/49,Elizabeth,,Warren,,MA,Senior Seat,I,https://www.warren.senate.gov,S2MA00170,SenWarren
W000779,D,M,Sen,5/3/49,Ron,,Wyden,,OR,Senior Seat,III,https://www.wyden.senate.gov,S6OR00110,RonWyden
U000039,D,M,Sen,5/18/48,Tom,S.,Udall,,NM,Senior Seat,II,https://www.tomudall.senate.gov,H8NM03097,SenatorTomUdall
H001042,D,F,Sen,11/3/47,Mazie,K.,Hirono,,HI,Junior Seat,I,https://www.hirono.senate.gov,H6HI02251,MazieHirono
M001183,D,M,Sen,8/24/47,Joe,,Manchin,III,WV,Senior Seat,I,http://www.manchin.senate.gov/public,S0WV00090,Sen_JoeManchin
S001181,D,F,Sen,1/28/47,Jeanne,,Shaheen,,NH,Senior Seat,II,https://www.shaheen.senate.gov,S0NH00219,SenatorShaheen
C000174,D,M,Sen,1/23/47,Thomas,Richard,Carper,,DE,Senior Seat,I,https://www.carper.senate.gov/public,S8DE00079,SenatorCarper
M000133,D,M,Sen,7/11/46,Edward,J.,Markey,,MA,Junior Seat,II,https://www.markey.senate.gov,H6MA07101,SenMarkey
B001277,D,M,Sen,2/13/46,Richard,,Blumenthal,,CT,Senior Seat,III,https://www.blumenthal.senate.gov,S0CT00177,SenBlumenthal
I000055,R,M,Sen,12/28/44,John,H.,Isakson,,GA,Senior Seat,III,https://www.isakson.senate.gov,S6GA00119,SenatorIsakson
D000563,D,M,Sen,11/21/44,Richard,J.,Durbin,,IL,Senior Seat,II,https://www.durbin.senate.gov,S6IL00151,SenatorDurbin
K000383,I,M,Sen,3/31/44,Angus,,King,,ME,Junior Seat,I,https://www.king.senate.gov,S2ME00109,SenAngusKing
E000285,R,M,Sen,2/1/44,Michael,B.,Enzi,,WY,Senior Seat,II,https://www.enzi.senate.gov,S6WY00126,SenatorEnzi
C000141,D,M,Sen,10/5/43,Benjamin,L.,Cardin,,MD,Senior Seat,I,https://www.cardin.senate.gov,H6MD03177,SenatorCardin
R000584,R,M,Sen,5/3/43,James,,Risch,,ID,Junior Seat,II,http://www.risch.senate.gov,S8ID00092,SenatorRisch
N000032,D,M,Sen,9/29/42,Bill,,Nelson,,FL,Senior Seat,I,https://www.billnelson.senate.gov,S8FL00166,SenBillNelson
M000355,R,M,Sen,2/20/42,Mitch,,McConnell,,KY,Senior Seat,II,https://www.mcconnell.senate.gov,S2KY00012,McConnellPress
S000033,I,M,Sen,9/8/41,Bernard,,Sanders,,VT,Junior Seat,I,https://www.sanders.senate.gov,H8VT01016,SenSanders
A000360,R,M,Sen,7/3/40,Lamar,,Alexander,,TN,Senior Seat,II,https://www.alexander.senate.gov/public,S2TN00058,SenAlexander
L000174,D,M,Sen,3/31/40,Patrick,J.,Leahy,,VT,Senior Seat,III,https://www.leahy.senate.gov,S4VT00017,SenatorLeahy
C000567,R,M,Sen,12/7/37,Thad,,Cochran,,MS,Senior Seat,II,http://www.cochran.senate.gov,S8MS00055,SenThadCochran
M000303,R,M,Sen,8/29/36,John,S.,McCain,,AZ,Senior Seat,III,https://www.mccain.senate.gov,S6AZ00019,SenJohnMcCain
R000307,R,M,Sen,4/20/36,Pat,,Roberts,,KS,Senior Seat,II,https://www.roberts.senate.gov,S6KS00080,SenPatRoberts
I000024,R,M,Sen,11/17/34,James,M.,Inhofe,,OK,Senior Seat,II,https://www.inhofe.senate.gov,S4OK00083,InhofePress
S000320,R,M,Sen,5/6/34,Richard,C.,Shelby,,AL,Senior Seat,III,https://www.shelby.senate.gov,S6AL00013,SenShelby
H000338,R,M,Sen,3/22/34,Orrin,G.,Hatch,,UT,Senior Seat,I,http://www.hatch.senate.gov,S6UT00063,SenOrrinHatch
G000386,R,M,Sen,9/17/33,Charles,E.,Grassley,,IA,Senior Seat,III,https://www.grassley.senate.gov,S0IA00028,ChuckGrassley
F000062,D,F,Sen,6/22/33,Dianne,,Feinstein,,CA,Senior Seat,I,https://www.feinstein.senate.gov,S0CA00199,SenFeinstein
